Lista de preços - NOVEMBRO/2025,,,,,
Categoria: Informática,,,,,
Título do Livro,ISBN,,Autor,Preço (R$),Status
Fundamentos do Gerenciamento de Metadados,9788575229743,,Ole Olesen-Bagneux,"96,00",Disponível
Gerência de Configuração com Puppet,9788575226247,,Aécio dos Santos Pires,"64,00",Disponível
Gerenciamento da Superfície de Ataque,9788575229729,,"Ron Eddings,MJ Kaufmann","96,00",Disponível
Gerenciando Privilégios em Tecnologia da Informação,9788575223000,,"John Mutch, Brian Anderson","65,00",Disponível
Google Hacking para Pentest,9788575225073,,"Johnny Long, Bill Gardner, Justin Brown","79,00",Disponível apenas em e-book
Guia Prático de Cifragem Manual,9788575226223,,Fred Ribeiro,"59,00",Disponível apenas em e-book
Hacking com Kali Linux,9788575223956,,"James Broad, Andrew Bindner ","83,00",Disponível apenas em e-book
HTML5 A Linguagem de Marcação que Revolucionou a Web – 2ª Edição,9788575224038,,Maurício Samy Silva,"85,00",Disponível
HTTP Guia de Consulta Rápida,8575220101,,Décio Jr.,"39,00",Disponível
IA Generativa para Desenvolvimento de Software,9788575229767,,Sergio Pereira,"79,00",Disponível
Implementando o Data Mesh,9788575229439,,"Jean-Georges Perrin, Eric Broda","89,00",Disponível
Infraestrutura como Código – 3ª Edição,9788575229620,,Kief Morris,"139,00",Disponível
Inteligência Artificial na Educação Básica,9788575228708,,Rosa Vicari/Christian Brackmann/Lucas Mizusaki/Cristiano Galafassi,"59,00",Disponível
"Internet das Coisas com ESP8266, Arduino e Raspberry Pi – 2ª Edição",9786586057355,,Sérgio de Oliveira,"79,00",Disponível
Internet das Coisas para Desenvolvedores,9788575227800,,Ricardo da Silva Ogliari,"69,00",Disponível apenas em e-book
Introdução à Inteligência Artificial,9788575228197,,Tom Taulli,"75,00",Disponível
Introdução à Linguagem Lua,9788575226681,,José Augusto N. G. Manzano,"59,00",Disponível apenas em e-book
Introdução à Linguagem Python,9788575227145,,José Augusto N. G. Manzano,"103,00",Disponível apenas em e-book
Introdução à Linguagem SQL,9788575225011,,Thomas Nield,"55,00",Disponível
Introdução à Orientação a Objetos com C++ e Python,9788575225486,,Orlando Saraiva Jr,"69,00",Disponível apenas em e-book
Introdução à Programação com a Linguagem C,9788575224854,,Rodrigo de Barros Paes,"75,00",Disponível
Introdução à Programação com Python – 4ª Edição,9788575228869,,Nilo Ney Coutinho Menezes,"129,00",Disponível
Introdução ao DNS,9788575225288,,Celso Marcos Furtado,"49,00",Disponível apenas em e-book
Introdução ao GraphQL,9788575227039,,"Eve Porcello, Alex Banks","65,00",Disponível
Introdução ao JSON,9788575224519,,Lindsay Bassett,"59,00",Disponível apenas em e-book
Introdução ao MongoDB,9788575224229,,"David Hows, Peter Membrey, Eelco Plugge","59,00",Disponível
Introdução ao Pentest – 2ª Edição,9788575228074,,Daniel Moreno,"99,00",Disponível
Introdução ao Web Hacking,9788575223918,,Josh Pauli,"62,00",Disponível apenas em e-book
Introdução às Expressões Regulares,9788575223307,,Michael Fitzgerald,"59,00",Disponível
Introduccion a La Programación con Python ,9788575225134,,Nilo Ney Coutinho Menezes,"89,00",Disponível
IoT com Micropython e NodeMCU,9786586057867,,"Cláudio Oliveira, Humberto Zanetti","77,00",Disponível
IPv6 - O novo protocolo da internet,9788575223741,,Samuel Henrique Bucke Brito,"59,00",Disponível
Java Guia do Programador – 4ª Edição,9786586057577,,Peter Jandl Jr.,"129,00",Disponível
JavaScript Essencial,9788575228919,,Maurício Samy Silva,"89,00",Disponível
JavaScript Guia do Programador,9788575222485,,Mauricio Samy Silva,"129,00",Disponível apenas em e-book
Kotlin em ação,9788575226100,,"Dmitry Jemerov, Svetlana Isakova","114,00",Disponível apenas em e-book
Kubernetes Básico,9788575228241,,"Brendan Burns, Joe Beda, Kelsey Hightower","79,00",Disponível apenas em e-book
Laboratórios de Tecnologias Cisco em Infraestrutura de Redes – 2ª Edição,9788575223352,,Samuel Henrique Bucke Brito,"85,00",Disponível
Lançamento de Software,9788575223314,,Chris Vander Mey,"69,00",Disponível
Laravel para Ninjas,9788575225509,,Ademir C. Gabardo,"55,00",Disponível
Lauren Ipsum,9788575224717,,Carlos Bueno,"53,00",Disponível
Lean UX,9788575228333,,"Jeff Gothelf, Josh Seiden","97,00",Disponível
Leis da Psicologia Aplicadas a UX – 2ª Edição,9786586059156,,Jon Yablonski,"79,00",Disponível
Linux Eficiente na Linha de Comando,9786586057973,,Daniel J. Barret,"87,00",Disponível
Linux Guia Prático - 4ª Edição,9788575229118,,Daniel J. Barret,"98,00",Disponível
Linux para Makers,9788575226735,,Aaron Newcomb,"73,00",Disponível
Lógica de Programação e Algoritmos com JavaScript – 2ª Edição,9786586057904,,Edécio Fernando Iepsen,"89,00",Disponível
Machine Learning – Guia de Referência Rápida,9788575228173,,Matt Harrison,"84,00",Disponível
Manual do Hacker,9788575227534,,Adrian Pruteanu,"115,00",Disponível
Matemática com Python,9788575227060,,Guilherme A. Barucke Marcondes,"62,00",Disponível
Microsserviços Prontos para a Produção,9788575226216,,Susan J Fowler,"69,00",Disponível
Migrando para a AWS,9786586057409,,Jeff Armstrong,"93,00",Disponível
Migrando Sistemas Monolíticos para Microsserviços,9786586057041,,Sam Newman,"85,00",Disponível
Nas Linhas do Arduino,9786586057027,,Gedeane Kenshima,"69,00",Disponível
Node Essencial,9788575226773,,Ricardo R. Lecheta,"67,00",Disponível
Nomes de domínio na internet,9788575224427,,Kelli Angelini Neves,"49,00",Disponível
NoSQL Essencial,9788575223383,,"Pramod J. Sadalage, Martin Fowler","73,00",Disponível
O Algoritmo Mestre,9788575225387,,Pedro Domingos,"103,00",Disponível apenas em e-book
O Catálogo de Dados Corporativos,9788575228647,,Ole Olesen-Bagneux,"75,00",Disponível
O Guia do Mochileiro Python,9788575225417,,"Kenneth Reitz, Tanya Schlusser","105,00",Disponível
Operadores do Kubernetes,9786586057195,,"Jason Dobies, Joshua Wood","62,00",Disponível apenas em e-book
Padrões de Design de Engenharia de Dados,9788575229668,,Bartosz Konieczny,"109,00",Disponível
Padrões JavaScript,9788575222669,,Stoyan Stefanov,"73,00",Disponível
Padrões para Kubernetes,9788575228142,,"Bilgin Ibryam, Roland Hub","79,00",Disponível apenas em e-book
Pense em Estatística – 3ª Edição,9788575229606,,Allen Downey,"99,00",Disponível
Pense em Python - 3ª Edição,9788575225080,,Allen B. Downey,"109,00",Disponível
Pentest em Aplicações Web,9788575226131,,Daniel Moreno,"119,00",Disponível
Pentest em Redes sem Fio,9788575224830,,Daniel Moreno,"92,00",Disponível
Perícia Forense Digital,9788575227923,,Nihad A Hassan,"85,00",Disponível
PHP Para Quem Conhece PHP– 5ª Edição,9788575225905,,Juliano Niederauer,"109,00",Disponível apenas em e-book
Primeiros Passos com a Linguagem Rust,9788575226834,,José Augusto N. G. Manzano,"89,00",Disponível
Primeiros Passos com React,9788575225202,,Stoyan Stefanov,"75,00",Disponível apenas em e-book
Primeiros Passos com Sensores,9788575224021,,"Kimmo Karvinen, Tero Karvinen","49,00",Disponível
Primeiros Passos com Soldagem,9788575226643,,Marc de Vinck,"45,00",Disponível
Princípios de Orientação a Objetos em JavaScript,9788575223895,,Nicholas C. Zakas,"64,00",Disponível
Problemas Clássicos de Ciência da Computação com Python,9788575228050,,David Kopec,"79,00",Disponível
Programação em Baixo Nível,9788575226674,,Igor Zhirkov,"149,00",Disponível
Programação em Rust – 2ª Edição,9788575228609,,"Jim Blandy, Jason Orendorff, Leonora F. S. Tindall","219,00",Disponível apenas em e-book
Programação Shell Linux – 13ª Edição,9788575228456,,Julio Cezar Neves,"129,00",Disponível
Programação Utilizando IA,9788575229255,,Tom Taulli,"82,00",Disponível
Programação Web com Node e Express,9786586057089,,Ethan Brown,"105,00",Disponível apenas em e-book
Programador Autodidata,9788575228357,,Cory Althoff,"74,00",Disponível
Projetando Sistemas Distribuídos,9788575229545,,Brendam Burns,"85,00",Disponível
Projeto de Banco de Dados e Teoria Relacional,9788575224557,,C.J. Date,"103,00",Disponível
Projetos de Automação Residencial com ESP8266,9788575226803,,Catalin Batrinu,"53,00",Disponível apenas em e-book
Projetos de Ciência de Dados com Python,9786586057102,,Stephen Klosterman,"93,00",Disponível
Projetos Front-end com Vue.js – 2ª Edição,9788575228661,,Maya Shavin/Raymond Camden,"165,00",Disponível
Projetos Maker,9788575227046,,Hellynson Cássio Lana,"65,00",Disponível apenas em e-book
Proteção Moderna de Dados,9786586057843,,W. Curtis Preston,"119,00",Disponível
Python e R para o Cientista de Dados Moderno,9786586057959,,"Rick J. Scavetta, Boyan Angelov","79,00",Disponível
Python Eficaz,9788575225103,,Brett Slatkin,"89,00",Disponível
Python Levado a Sério,9786586057171,,Julien Danjou,"79,00",Disponível
Python para Análise de Dados - 3ª Edição,9788575228418,,Wes McKinney,"169,00",Disponível
Python para Bioinformática,9788575229392,,Diego Mariano,"139,00",Disponível
Python para Ciência de Dados,9788575228487,,Yuli Vasiliev,"79,00",Disponível
Python Poderoso,9788575229521,,Aaron Maxwell,"85,00",Disponível
Ransomware,9788575225516,,"Allan Liska, Timothy Gallo","73,00",Disponível apenas em e-book
React Fluente,9788575229095,,Tejas Kumar,"129,00",Disponível
Redação Estratégica para UX,9788575228128,,Torrey Podmajersky,"67,00",Disponível
Redes de Computadores – 2ª Edição,9788575223680,,Douglas Rocha Mendes,"95,00",Disponível apenas em e-book
Refatoração – 2ª Edição,9788575227244,,Martin Fowler,"129,00",Disponível
Refatoração de CSS,9788575225370,,Steve Lindstrom,"59,00",Disponível
Scrum em Ação,9788575222850,,"Andrew Pham, Phuong-Van Pham","75,00",Disponível
Segurança em Servidores Linux,9788575225356,,Chris Binnie,"62,00",Disponível
Serviços de Redes em Servidores Linux,9788575226193,,Samuel Henrique Bucke Brito,"55,00",Disponível apenas em e-book
Shell Script Profissional,9788575221525,,Aurelio Marinho Jargas,"109,00",Disponível
SQL em 10 Minutos por Dia,9786586057447,,Ben Forta,"79,00",Disponível
SQL Guia Prático,9788575228319,,Alice Zhao,"79,00",Disponível
SQL para Análise de Dados,9786586057751,,Cathy Tanimura,"119,00",Disponível
